from station,time,from station ,time
Kaavalam / Thattassery,6:40 AM,Alappuzha,5:30 AM
Kaavalam / Thattassery,7:40 AM,Alappuzha,6:10 AM
Kaavalam / Thattassery,8:50 AM,Alappuzha,6:40 AM
Kaavalam / Thattassery,9:10 AM,Alappuzha,7:10 AM
Kaavalam / Thattassery,9:40 AM,Alappuzha,7:40 AM
Kaavalam / Thattassery,10:00 AM,Alappuzha,8:00 AM
Kaavalam / Thattassery,10:30 AM,Alappuzha,8:30 AM
Kaavalam / Thattassery,11:00 AM,Alappuzha,9:00 AM
Kaavalam / Thattassery,11:40 AM,Alappuzha,9:20 AM
Kaavalam / Thattassery,12:10 PM,Alappuzha,9:50 AM
Kaavalam / Thattassery,12:50 PM,Alappuzha,10:30 AM
Kaavalam / Thattassery,1:20 PM,Alappuzha,11:00 AM
Kaavalam / Thattassery,1:40 PM,Alappuzha,11:40 AM
Kaavalam / Thattassery,2:30 PM,Alappuzha,12:10 PM
Kaavalam / Thattassery,2:50 PM,Alappuzha,12:30 PM
Kaavalam / Thattassery,3:10 PM,Alappuzha,1:20 PM
Kaavalam / Thattassery,3:40 PM,Alappuzha,1:40 PM
Kaavalam / Thattassery,4:10 PM,Alappuzha,2:00 PM
Kaavalam / Thattassery,4:40 PM,Alappuzha,2:30 PM
Kaavalam / Thattassery,5:00 PM,Alappuzha,3:00 PM
Kaavalam / Thattassery,5:20 PM,Alappuzha,3:50 PM
Kaavalam / Thattassery,5:40 PM,Alappuzha,4:10 PM
Kaavalam / Thattassery,6:20 PM,Alappuzha,4:30 PM
Kaavalam / Thattassery,7:10 PM,Alappuzha,5:10 PM
Kaavalam / Thattassery,7:50 PM,Alappuzha,6:00 PM
Kaavalam / Thattassery,8:40 PM,Alappuzha,6:40 PM
,,Alappuzha,7:40 PM
