from station,time,from station ,time
kayalpuram,5:25 AM,changanassery,6:00 AM
kayalpuram,7:35 AM,changanassery,7:30 AM
kayalpuram,8:30 AM,changanassery,8:40 AM
kayalpuram,8:50 AM,changanassery,10:20 AM
kayalpuram,10:00 AM,changanassery,11:15 AM
kayalpuram,11:30 AM,changanassery,12:40 PM
kayalpuram,12:30 AM,changanassery,1:10 PM
kayalpuram,2:30 AM,changanassery,2:00 PM
kayalpuram,2:25 PM,changanassery,3:15 PM
kayalpuram,3:15 PM,changanassery,4:00 PM
kayalpuram,4:15 PM,changanassery,4:30 PM
kayalpuram,5:15 PM,changanassery,5:20 PM
kayalpuram,5:45 PM,changanassery,5:50 PM
kayalpuram,7:05 PM,changanassery,6:30 PM
kayalpuram,7:40 PM,changanassery,9:10 PM
